Team,Season,GP,W,L,T,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Game Type
Boston Bruins,20222023,7,3,4,--,6,0.429,3,3,0,27,26,3.86,3.71,40.7,75,37,85,35.6,32.3,53.8,Playoffs
Carolina Hurricanes,20222023,15,8,7,--,16,0.533,5,8,0,46,38,3.07,2.53,17.7,84.1,13.7,93.2,36,28.9,49.3,Playoffs
Colorado Avalanche,20222023,7,3,4,--,6,0.429,3,3,0,19,18,2.71,2.57,11.1,85.7,5.6,90.5,33.3,30,55,Playoffs
Dallas Stars,20222023,19,10,9,--,20,0.526,9,10,0,59,61,3.11,3.21,30.8,82,28.9,84,30.6,29.3,55.6,Playoffs
Edmonton Oilers,20222023,12,6,6,--,12,0.5,5,6,0,44,42,3.67,3.5,46.2,75.6,43.6,77.8,34.3,31.5,51.7,Playoffs
Florida Panthers,20222023,21,13,8,--,26,0.619,6,13,0,62,69,2.95,3.29,21.1,70.4,15.8,73.2,31.5,35.7,45.2,Playoffs
Los Angeles Kings,20222023,6,2,4,--,4,0.333,0,2,0,20,25,3.33,4.17,33.3,43.8,33.3,50,33.5,35.3,45.7,Playoffs
Minnesota Wild,20222023,6,2,4,--,4,0.333,1,2,0,14,21,2.33,3.5,18.2,62.5,13.6,62.5,30.7,31.7,43.7,Playoffs
New Jersey Devils,20222023,12,5,7,--,10,0.417,4,5,0,30,41,2.5,3.42,16.7,82.5,8.3,90,28.2,29.3,53.3,Playoffs
New York Islanders,20222023,6,2,4,--,4,0.333,2,2,0,15,16,2.5,2.67,5.6,80,0,84,29,35,51.3,Playoffs
New York Rangers,20222023,7,3,4,--,6,0.429,3,3,0,17,17,2.43,2.43,17.9,83.3,10.7,83.3,27.9,29.4,48.6,Playoffs
Seattle Kraken,20222023,14,7,7,--,14,0.5,5,7,0,44,45,3.14,3.21,14.3,82.9,11.4,88.6,29.1,30.6,43.6,Playoffs
Tampa Bay Lightning,20222023,6,2,4,--,4,0.333,2,2,0,21,23,3.5,3.83,23.8,71.4,23.8,71.4,32.7,30.7,48.8,Playoffs
Toronto Maple Leafs,20222023,11,5,6,--,10,0.455,2,5,0,33,35,3,3.18,25,73.3,25,73.3,32.5,31.8,55.4,Playoffs
Vegas Golden Knights,20222023,22,16,6,--,32,0.727,13,16,0,88,57,4,2.59,21.9,71.7,19.2,73.3,30.1,32,50.4,Playoffs
Winnipeg Jets,20222023,5,1,4,--,2,0.2,1,1,0,14,19,2.8,3.8,41.7,81.3,41.7,81.3,30.8,31.8,49.2,Playoffs
