Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Jett Alexander,20222023,TOR,L,1,0,0,0,--,0,0,0,0,--,0,1:10,0,0,0,0,0,1999-11-08,Bloomfield,ON,CAN,CAN,77,214,--,--,--,20222023,N,Regular Season
Jake Allen,20222023,MTL,L,42,41,15,24,--,3,1 335,1 190,145,0.891,3.55,2450:25,1,0,1,1,2,1990-08-07,Fredericton,NB,CAN,CAN,74,197,2008,2,34,20122013,N,Regular Season
Frederik Andersen,20222023,CAR,L,34,33,21,11,--,1,849,767,82,0.903,2.48,1984:21,1,0,1,1,0,1989-10-02,Herning,--,DNK,DNK,76,229,2012,3,87,20132014,N,Regular Season
Craig Anderson,20222023,BUF,L,26,24,11,11,--,2,823,747,76,0.908,3.06,1490:02,1,0,1,1,2,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,3,73,20022003,N,Regular Season
Justus Annunen,20222023,COL,L,2,2,1,1,--,0,48,41,7,0.854,3.58,117:20,0,0,0,0,0,2000-03-11,Kempele,--,FIN,FIN,76,210,2018,3,64,20212022,N,Regular Season
Yaroslav Askarov,20222023,NSH,R,1,1,0,1,--,0,35,31,4,0.886,4.15,57:50,0,0,0,0,0,2002-06-16,Omsk,--,RUS,RUS,75,178,2020,1,11,20222023,N,Regular Season
Matthew Berlin,20222023,EDM,L,1,0,0,0,--,0,1,1,0,1,0,2:26,0,0,0,0,0,1998-01-20,Edmonton,AB,CAN,CAN,75,205,--,--,--,20222023,N,Regular Season
Jordan Binnington,20222023,STL,L,61,60,27,27,--,6,1 826,1 632,194,0.894,3.31,3516:03,2,0,2,2,29,1993-07-11,Richmond Hill,ON,CAN,CAN,74,172,2011,3,88,20152016,N,Regular Season
Mackenzie Blackwood,20222023,NJD,L,22,20,10,6,--,2,563,503,60,0.893,3.2,1125:33,0,0,0,0,2,1996-12-09,Thunder Bay,ON,CAN,CAN,76,225,2015,2,42,20182019,N,Regular Season
Sergei Bobrovsky,20222023,FLA,L,50,49,24,20,--,3,1 466,1 321,145,0.901,3.07,2834:22,1,0,0,0,2,1988-09-20,Novokuznetsk,--,RUS,RUS,74,180,--,--,--,20102011,N,Regular Season
