Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Nick Abruzzese,20222023,TOR,L,C,2,0,2,2,1,0,1,0,1,0,1,0,0,0,0,2,0,8:59,--,1999-06-04,Slate Hill,NY,USA,USA,71,183,2019,4,124,20212022,N,Regular Season
Noel Acciari,20222023,"STL,TOR",R,C,77,14,9,23,-4,21,0.3,14,21,0,0,0,2,0,2,102,13.7,14:19,53.8,1991-12-01,Johnston,RI,USA,USA,71,209,--,--,--,20152016,N,Regular Season
Calen Addison,20222023,MIN,R,D,62,3,26,29,-17,22,0.47,3,11,0,18,0,0,0,1,77,3.9,16:07,--,2000-04-11,Brandon,MB,CAN,CAN,71,173,2018,2,53,20202021,N,Regular Season
Egor Afanasyev,20222023,NSH,L,L,17,1,0,1,-7,2,0.06,1,1,0,0,0,0,0,0,21,4.8,10:51,--,2001-01-23,Tver,--,RUS,RUS,76,211,2019,2,45,20222023,N,Regular Season
Andrew Agozzino,20222023,SJS,L,L,4,1,2,3,-1,0,0.75,0,2,0,0,1,1,0,0,9,11.1,16:22,100,1991-01-03,Kleinburg,ON,CAN,CAN,70,187,--,--,--,20142015,N,Regular Season
Sebastian Aho,20222023,CAR,L,C,75,36,31,67,8,42,0.89,26,48,7,15,3,4,2,9,218,16.5,19:30,51.4,1997-07-26,Rauma,--,FIN,FIN,72,180,2015,2,35,20162017,N,Regular Season
Sebastian Aho,20222023,NYI,L,D,71,5,18,23,9,22,0.32,5,21,0,2,0,0,0,0,89,5.6,16:46,--,1996-02-17,Umea,--,SWE,SWE,70,176,2017,5,139,20172018,N,Regular Season
Nikita Alexandrov,20222023,STL,L,C,28,3,4,7,0,8,0.25,3,7,0,0,0,0,0,0,28,10.7,9:49,35.3,2000-09-16,Burgwedel,--,DEU,RUS,73,177,2019,2,62,20222023,N,Regular Season
Alexander Alexeyev,20222023,WSH,L,D,32,0,5,5,-2,4,0.16,0,5,0,0,0,0,0,0,28,0,16:27,--,1999-11-15,St. Petersburg,--,RUS,RUS,76,213,2018,1,31,20212022,N,Regular Season
Frederic Allard,20222023,MTL,R,D,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,13:51,--,1997-12-27,St. Sauveur,QC,CAN,CAN,73,179,2016,3,78,20202021,N,Regular Season
Wade Allison,20222023,PHI,R,R,60,9,6,15,-3,36,0.25,9,15,0,0,0,0,0,2,89,10.1,12:54,16.7,1997-10-14,Carman,MB,CAN,CAN,74,205,2016,2,52,20202021,N,Regular Season
Michael Amadio,20222023,VGK,R,R,67,16,11,27,2,12,0.4,15,25,1,2,0,0,0,2,99,16.2,12:13,49.2,1996-05-13,Sault Ste. Marie,ON,CAN,CAN,73,199,2014,3,90,20172018,N,Regular Season
Nils Aman,20222023,VAN,L,C,68,4,12,16,-12,18,0.24,4,14,0,0,0,2,0,1,50,8,12:42,38.2,2000-02-07,Avesta,--,SWE,SWE,74,179,2020,6,167,20222023,N,Regular Season
Joey Anderson,20222023,"TOR,CHI",R,R,38,6,3,9,-8,0,0.24,6,9,0,0,0,0,0,1,41,14.6,11:42,0,1998-06-19,Roseville,MN,USA,USA,72,207,2016,3,73,20182019,N,Regular Season
Josh Anderson,20222023,MTL,R,R,69,21,11,32,-8,72,0.46,16,27,4,4,1,1,0,5,164,12.8,16:58,43.2,1994-05-07,Burlington,ON,CAN,CAN,75,226,2012,4,95,20142015,N,Regular Season
Mikey Anderson,20222023,LAK,L,D,77,5,15,20,20,40,0.26,4,18,1,1,0,1,0,1,90,5.6,21:40,--,1999-05-25,Roseville,MN,USA,USA,72,195,2017,4,103,20192020,N,Regular Season
Jaret Anderson-Dolan,20222023,LAK,L,C,46,7,5,12,-11,2,0.26,7,11,0,1,0,0,0,2,54,13,10:37,59,1999-09-12,Calgary,AB,CAN,CAN,71,200,2017,2,41,20182019,N,Regular Season
Lias Andersson,20222023,LAK,L,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,8:37,--,1998-10-13,Smogen,--,SWE,SWE,72,185,2017,1,7,20172018,N,Regular Season
Rasmus Andersson,20222023,CGY,R,D,79,11,38,49,5,26,0.62,9,26,1,21,1,2,1,4,159,6.9,24:05,--,1996-10-27,Malmo,--,SWE,SWE,73,202,2015,2,53,20162017,N,Regular Season
Andy Andreoff,20222023,NYI,L,C,3,0,1,1,-3,0,0.33,0,1,0,0,0,0,0,0,1,0,7:21,42.9,1991-05-17,Pickering,ON,CAN,CAN,73,208,2011,3,80,20142015,N,Regular Season
Tyler Angle,20222023,CBJ,L,C,2,1,0,1,-2,0,0.5,1,1,0,0,0,0,0,0,5,20,11:29,44.4,2000-09-30,Niagara Falls,ON,CAN,CAN,70,166,2019,7,212,20222023,N,Regular Season
Mason Appleton,20222023,WPG,R,C,41,5,11,16,2,8,0.39,4,15,1,1,0,0,0,0,71,7,16:01,20,1996-01-15,Green Bay,WI,USA,USA,74,194,2015,6,168,20182019,N,Regular Season
Josh Archibald,20222023,PIT,R,R,62,6,6,12,6,43,0.19,6,12,0,0,0,0,0,0,71,8.5,9:59,25,1992-10-06,Regina,SK,CAN,CAN,70,176,2011,6,174,20152016,N,Regular Season
Joel Armia,20222023,MTL,R,R,43,7,7,14,-7,22,0.33,6,12,0,1,1,1,0,0,69,10.1,14:57,33.3,1993-05-31,Pori,--,FIN,FIN,75,216,2011,1,16,20142015,N,Regular Season
Viktor Arvidsson,20222023,LAK,R,L,77,26,33,59,-4,24,0.77,15,33,10,25,1,1,0,2,228,11.4,17:06,40.3,1993-04-08,Skelleftea,--,SWE,SWE,70,185,2014,4,112,20142015,N,Regular Season
Rasmus Asplund,20222023,"BUF,NSH",L,C,46,2,6,8,-6,4,0.17,1,7,0,0,1,1,0,0,54,3.7,10:58,40,1997-12-03,Filipstad,--,SWE,SWE,71,190,2016,2,33,20192020,N,Regular Season
Zach Aston-Reese,20222023,TOR,L,C,77,10,4,14,-6,25,0.18,10,14,0,0,0,0,0,2,89,11.2,10:56,50,1994-08-10,Staten Island,NY,USA,USA,73,200,--,--,--,20172018,N,Regular Season
Andreas Athanasiou,20222023,CHI,L,C,81,20,20,40,-29,34,0.49,17,33,3,7,0,0,1,4,175,11.4,16:00,46.6,1994-08-06,Woodbridge,ON,CAN,CAN,74,190,2012,4,110,20152016,N,Regular Season
Ronnie Attard,20222023,PHI,R,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16:45,--,1999-03-20,White Lake,MI,USA,USA,75,208,2019,3,72,20212022,N,Regular Season
Nicolas Aube-Kubel,20222023,"TOR,WSH",R,R,53,4,8,12,1,50,0.23,4,12,0,0,0,0,0,0,67,6,11:21,42.9,1996-05-10,Slave Lake,AB,CAN,CAN,72,213,2014,2,48,20182019,N,Regular Season
Mikael Backlund,20222023,CGY,L,C,82,19,37,56,24,36,0.68,13,40,5,12,1,4,1,2,260,7.3,18:10,50.9,1989-03-17,Vasteras,--,SWE,SWE,72,206,2007,1,24,20082009,N,Regular Season
Nicklas Backstrom,20222023,WSH,L,C,39,7,14,21,-25,14,0.54,1,10,6,11,0,0,0,0,59,11.9,16:53,50.4,1987-11-23,Gavle,--,SWE,SWE,73,202,2006,1,4,20072008,N,Regular Season
Kevin Bahl,20222023,NJD,L,D,42,2,6,8,4,35,0.19,2,8,0,0,0,0,0,0,27,7.4,14:01,--,2000-06-27,New Westminster,BC,CAN,CAN,78,230,2018,2,55,20202021,N,Regular Season
Josh Bailey,20222023,NYI,L,R,64,8,17,25,3,2,0.39,8,22,0,3,0,0,0,2,72,11.1,15:08,41.7,1989-10-02,Bowmanville,ON,CAN,CAN,73,200,2008,1,9,20082009,N,Regular Season
Rudolfs Balcers,20222023,"FLA,TBL",L,L,17,3,2,5,-1,4,0.29,3,5,0,0,0,0,0,0,24,12.5,10:12,0,1997-04-08,Liepaja,--,LVA,LVA,71,182,2015,5,142,20182019,N,Regular Season
Alexander Barabanov,20222023,SJS,L,L,68,15,32,47,-30,20,0.69,12,34,3,13,0,0,0,2,120,12.5,18:03,33.3,1994-06-17,St. Petersburg,--,RUS,RUS,70,195,--,--,--,20202021,N,Regular Season
Ivan Barbashev,20222023,"STL,VGK",L,C,82,16,29,45,1,42,0.55,14,39,2,5,0,1,0,2,126,12.7,16:45,38.2,1995-12-14,Moscow,--,RUS,RUS,72,203,2014,2,33,20162017,N,Regular Season
Cole Bardreau,20222023,NYI,R,C,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,--,6:37,--,1993-07-22,Fairport,NY,USA,USA,70,184,--,--,--,20192020,N,Regular Season
Aleksander Barkov,20222023,FLA,L,C,68,23,55,78,10,8,1.15,14,46,8,30,1,2,0,6,208,11.1,21:13,54.9,1995-09-02,Tampere,--,FIN,FIN,75,214,2013,1,2,20132014,N,Regular Season
Tyson Barrie,20222023,"EDM,NSH",R,D,85,13,42,55,-7,36,0.65,9,23,4,31,0,1,0,1,163,8,19:47,--,1991-07-26,Victoria,BC,CAN,CAN,71,197,2009,3,64,20112012,N,Regular Season
Justin Barron,20222023,MTL,R,D,39,4,11,15,-2,20,0.38,2,12,1,2,1,1,0,1,40,10,16:18,--,2001-11-15,Halifax,NS,CAN,CAN,74,198,2020,1,25,20212022,N,Regular Season
Morgan Barron,20222023,WPG,L,C,70,8,13,21,4,31,0.3,7,17,0,1,1,3,0,2,112,7.1,13:15,44.8,1998-12-02,Halifax,NS,CAN,CAN,76,220,2017,6,174,20202021,N,Regular Season
