Player,Season,Team,S/C,GP,GS,W,L,T,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Frederik Andersen,20232024,CAR,L,10,10,6,4,--,267,239,28,0.895,2.62,641:54,0,0,0,0,0,1989-10-02,Herning,--,DNK,DNK,76,229,2012,3,87,20132014,N,Playoffs
Sergei Bobrovsky,20232024,FLA,L,24,24,16,8,--,583,528,55,0.906,2.32,1419:32,2,0,1,1,0,1988-09-20,Novokuznetsk,--,RUS,RUS,74,180,--,--,--,20102011,N,Playoffs
Laurent Brossoit,20232024,WPG,L,1,0,0,0,--,4,4,0,1,0,18:00,0,0,0,0,0,1993-03-23,Port Alberni,BC,CAN,CAN,75,203,2011,6,164,20162017,N,Playoffs
Thatcher Demko,20232024,VAN,L,1,1,1,0,--,24,22,2,0.917,2,60:00,0,0,0,0,0,1995-12-08,San Diego,CA,USA,USA,76,192,2014,2,36,20192020,N,Playoffs
Casey DeSmith,20232024,VAN,L,2,2,1,1,--,45,41,4,0.911,2.02,118:58,0,0,0,0,0,1991-08-13,Rochester,NH,USA,USA,72,180,--,--,--,20212022,N,Playoffs
Alexandar Georgiev,20232024,COL,L,11,11,6,5,--,311,279,33,0.897,2.85,694:13,0,0,0,0,0,1996-02-10,Ruse,--,BGR,RUS,73,178,--,--,--,20212022,N,Playoffs
Connor Hellebuyck,20232024,WPG,L,5,5,1,4,--,177,154,24,0.87,5.23,275:17,0,0,0,0,0,1993-05-19,Commerce,MI,USA,USA,76,207,2012,5,130,20172018,N,Playoffs
Adin Hill,20232024,VGK,L,3,3,1,2,--,72,67,5,0.931,1.7,176:17,1,0,0,0,0,1996-05-11,Comox,BC,CAN,CAN,76,215,2015,3,76,20222023,N,Playoffs
Pyotr Kochetkov,20232024,CAR,L,1,1,0,1,--,25,22,3,0.88,2.96,60:54,0,0,0,0,0,1999-06-25,Penza,--,RUS,RUS,75,193,2019,2,36,20212022,N,Playoffs
Charlie Lindgren,20232024,WSH,R,4,4,0,4,--,103,89,14,0.864,3.58,234:31,0,0,0,0,0,1993-12-18,Lakeville,MN,USA,USA,74,179,--,--,--,20232024,N,Playoffs
Jake Oettinger,20232024,DAL,L,19,19,10,9,--,516,472,45,0.915,2.24,1206:47,0,0,1,1,2,1998-12-18,Lakeville,MN,USA,USA,78,224,2017,1,26,20192020,N,Playoffs
Calvin Pickard,20232024,EDM,L,3,2,1,1,--,59,54,5,0.915,2.21,135:55,0,0,0,0,0,1992-04-15,Moncton,NB,CAN,CAN,73,206,2010,2,49,20232024,N,Playoffs
