Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Sebastian Aho,20232024,CAR,L,C,11,4,8,12,1,2,1.09,4,11,0,1,0,0,0,1,30,13.3,21:55,45.7,1997-07-26,Rauma,--,FIN,FIN,72,180,2015,2,35,20182019,N,Playoffs
Alexander Alexeyev,20232024,WSH,L,D,4,0,1,1,-2,4,0.25,0,1,0,0,0,0,0,0,2,0,19:13,--,1999-11-15,St. Petersburg,--,RUS,RUS,76,213,2018,1,31,20232024,N,Playoffs
Michael Amadio,20232024,VGK,R,R,4,1,1,2,2,0,0.5,1,2,0,0,0,0,0,0,4,25,11:21,61.5,1996-05-13,Sault Ste. Marie,ON,CAN,CAN,73,199,2014,3,90,20172018,N,Playoffs
Nils Aman,20232024,VAN,L,C,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9:27,46.2,2000-02-07,Avesta,--,SWE,SWE,74,179,2020,6,167,20232024,N,Playoffs
Mikey Anderson,20232024,LAK,L,D,5,1,2,3,-1,2,0.6,1,3,0,0,0,0,0,0,9,11.1,20:03,--,1999-05-25,Roseville,MN,USA,USA,72,195,2017,4,103,20212022,N,Playoffs
Mason Appleton,20232024,WPG,R,C,5,0,2,2,-4,6,0.4,0,2,0,0,0,0,0,0,7,0,14:00,100,1996-01-15,Green Bay,WI,USA,USA,74,194,2015,6,168,20192020,N,Playoffs
Viktor Arvidsson,20232024,LAK,R,L,5,0,3,3,-1,0,0.6,0,3,0,0,0,0,0,0,11,0,18:15,40,1993-04-08,Skelleftea,--,SWE,SWE,70,185,2014,4,112,20152016,N,Playoffs
Nicolas Aube-Kubel,20232024,WSH,R,R,3,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,--,9:22,50,1996-05-10,Slave Lake,AB,CAN,CAN,72,213,2014,2,48,20192020,N,Playoffs
Ivan Barbashev,20232024,VGK,L,C,7,0,4,4,3,0,0.57,0,4,0,0,0,0,0,0,8,0,14:54,25,1995-12-14,Moscow,--,RUS,RUS,72,203,2014,2,33,20162017,N,Playoffs
Aleksander Barkov,20232024,FLA,L,C,24,8,14,22,-1,8,0.92,6,13,1,7,1,2,0,4,61,13.1,21:15,55.2,1995-09-02,Tampere,--,FIN,FIN,75,214,2013,1,2,20152016,N,Playoffs
Tyson Barrie,20232024,NSH,R,D,1,0,1,1,-1,0,1,0,0,0,1,0,0,0,0,0,--,17:42,--,1991-07-26,Victoria,BC,CAN,CAN,71,197,2009,3,64,20132014,N,Playoffs
Mathew Barzal,20232024,NYI,R,C,5,2,3,5,-1,4,1,2,4,0,1,0,0,1,1,15,13.3,21:08,--,1997-05-26,Coquitlam,BC,CAN,CAN,73,190,2015,1,16,20182019,N,Playoffs
Anthony Beauvillier,20232024,NSH,L,L,6,1,1,2,0,2,0.33,1,2,0,0,0,0,0,0,9,11.1,13:01,100,1997-06-08,Sorel-Tracy,QC,CAN,CAN,71,180,2015,1,28,20182019,N,Playoffs
John Beecher,20232024,BOS,L,C,12,1,1,2,-4,2,0.17,1,2,0,0,0,0,0,0,13,7.7,10:43,46.2,2001-04-05,Elmira,NY,USA,USA,75,220,2019,1,30,20232024,N,Playoffs
Jamie Benn,20232024,DAL,L,L,19,4,11,15,5,6,0.79,3,11,1,4,0,0,0,0,36,11.1,17:08,61.9,1989-07-18,Victoria,BC,CAN,CAN,75,206,2007,5,129,20132014,N,Playoffs
Sam Bennett,20232024,FLA,L,C,19,7,7,14,-1,12,0.74,6,10,1,4,0,0,0,1,38,18.4,16:04,51.4,1996-06-20,Holland Landing,ON,CAN,CAN,73,193,2014,1,4,20142015,N,Playoffs
Simon Benoit,20232024,TOR,L,D,7,0,0,0,-3,4,0,0,0,0,0,0,0,0,0,7,0,17:04,--,1998-09-19,Laval,QC,CAN,CAN,76,211,--,--,--,20232024,N,Playoffs
