Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Game Type
Anaheim Ducks,20252026,82,43,33,--,6,92,0.561,26,35,8,265,288,3.23,3.51,18.6,76.4,16.3,79.5,30.8,28.4,48,Regular Season
Boston Bruins,20252026,82,45,27,--,10,100,0.61,33,41,4,268,247,3.27,3.01,23.4,77,19.6,77.7,27,29.7,53.1,Regular Season
Buffalo Sabres,20252026,82,50,23,--,9,109,0.665,42,45,5,283,240,3.45,2.93,19.5,81.9,17.1,86.6,28.1,29.1,45.9,Regular Season
Calgary Flames,20252026,82,34,39,--,9,77,0.47,27,30,4,208,256,2.54,3.12,16.2,80.4,14.4,84.9,28.1,29.9,49.3,Regular Season
Carolina Hurricanes,20252026,82,53,22,--,7,113,0.689,39,48,5,291,236,3.55,2.88,24.9,80.5,23.2,85.7,32.2,23.9,50.1,Regular Season
Chicago Blackhawks,20252026,82,29,39,--,14,72,0.439,22,26,3,210,270,2.56,3.29,16.9,83.6,15.7,86.1,24.6,30,46,Regular Season
Colorado Avalanche,20252026,82,55,16,--,11,121,0.738,48,51,4,298,197,3.63,2.4,17.1,84.6,12.2,85.5,33.7,26.1,51.2,Regular Season
Columbus Blue Jackets,20252026,82,40,30,--,12,92,0.561,28,33,7,246,251,3,3.06,18.9,76,16.4,78.3,29.4,28.8,50.6,Regular Season
Dallas Stars,20252026,82,50,20,--,12,112,0.683,38,44,6,273,222,3.33,2.71,28.6,80.3,25.8,81.9,25.3,26.2,51.6,Regular Season
Detroit Red Wings,20252026,82,41,31,--,10,92,0.561,30,39,2,239,254,2.91,3.1,22.6,77.1,20.6,78.6,28.2,27.7,51,Regular Season
Edmonton Oilers,20252026,82,41,30,--,11,93,0.567,32,41,0,282,265,3.44,3.23,30.6,77.8,27.5,80.5,29.7,26.7,52.6,Regular Season
Florida Panthers,20252026,82,40,38,--,4,84,0.512,32,35,5,246,274,3,3.34,19.5,81,16.9,83.2,28,26.8,46.8,Regular Season
Los Angeles Kings,20252026,82,35,27,--,20,90,0.549,22,30,5,220,238,2.68,2.9,17,74.6,13.8,77.5,28,27.2,49.8,Regular Season
Minnesota Wild,20252026,82,46,24,--,12,104,0.634,31,42,4,268,235,3.27,2.87,25.2,79.8,23.6,83.1,29.2,29.4,46.6,Regular Season
Montréal Canadiens,20252026,82,48,24,--,10,106,0.646,34,44,4,279,251,3.4,3.06,23.1,78.2,21.5,81.5,26.3,27.8,51,Regular Season
Nashville Predators,20252026,82,38,34,--,10,86,0.524,28,33,5,242,267,2.95,3.26,23.1,81.7,22.3,85,27.9,29.6,50.5,Regular Season
New Jersey Devils,20252026,82,42,37,--,3,87,0.53,29,38,4,226,253,2.76,3.09,22,79.3,20,82.7,29.6,27.4,50.5,Regular Season
New York Islanders,20252026,82,43,34,--,5,91,0.555,29,39,4,229,236,2.79,2.88,16.5,80.8,12.8,85,28.2,27.7,52.6,Regular Season
New York Rangers,20252026,82,34,39,--,9,77,0.47,25,31,3,235,249,2.87,3.04,24.7,79.9,20.5,82.3,25.2,28.8,54.5,Regular Season
Ottawa Senators,20252026,82,44,27,--,11,99,0.604,38,41,3,275,245,3.35,2.99,24,75.7,21.7,79.1,28.9,24.4,54.5,Regular Season
Philadelphia Flyers,20252026,82,43,27,--,12,98,0.598,27,33,10,240,239,2.93,2.91,15.7,77.6,11.9,80.4,25.5,25.5,49.5,Regular Season
Pittsburgh Penguins,20252026,82,41,25,--,16,98,0.598,34,38,3,290,258,3.54,3.15,24.1,81.4,19,84,28.6,27.4,48.2,Regular Season
San Jose Sharks,20252026,82,39,35,--,8,86,0.524,27,37,2,249,290,3.04,3.54,21.2,76.4,18,77.6,25.8,29.6,47.8,Regular Season
Seattle Kraken,20252026,82,34,37,--,11,79,0.482,26,32,2,224,257,2.73,3.13,19.5,72.2,16.4,73.1,25.6,29.5,47.7,Regular Season
St. Louis Blues,20252026,82,37,33,--,12,86,0.524,33,36,1,230,254,2.8,3.1,17.6,76.7,15.7,79.4,25.3,27.7,49.4,Regular Season
Tampa Bay Lightning,20252026,82,50,26,--,6,106,0.646,40,46,4,286,229,3.49,2.79,20.7,82.6,18.3,84.9,28.1,26.7,47.4,Regular Season
Toronto Maple Leafs,20252026,82,32,36,--,14,78,0.476,23,31,1,252,295,3.07,3.6,21.3,81.2,17.8,83.8,26.3,32.4,54.2,Regular Season
Utah Mammoth,20252026,82,43,33,--,6,92,0.561,33,43,0,268,240,3.27,2.93,20,78.1,18.7,81.4,27.7,26.1,49.2,Regular Season
Vancouver Canucks,20252026,82,25,49,--,8,58,0.354,15,19,6,210,314,2.56,3.83,21.8,71.5,19.2,75.4,26,29.8,49.3,Regular Season
Vegas Golden Knights,20252026,82,39,26,--,17,95,0.579,30,38,1,264,242,3.22,2.95,24.6,81.4,22,84.3,29,24.4,51,Regular Season
Washington Capitals,20252026,82,43,30,--,9,95,0.579,37,41,2,261,238,3.18,2.9,17.8,80.1,13.3,81.7,28,28.1,49.3,Regular Season
Winnipeg Jets,20252026,82,35,35,--,12,82,0.5,28,33,2,229,256,2.79,3.12,18.5,77.6,16.3,80.3,26.4,27.8,51.1,Regular Season
